A
DOV
DOW
DOX
DPZ
DRI
DT
DTE
DUK
DUKB
DVA
DVN
DXCM
E
EA
EBAY
EBR
EC
ECCF
ECL
ED
EDR
EDU
EFX
EG
EIX
EL
ELS
ELV
EME
EMR
ENB
ENPH
ENTG
EOG
EPAM
EPD
EQH
EQIX
EQNR
EQR
EQT
ERIC
ERIE
ES
ESS
ESTC
ET
ETN
ETR
EVRG
EW
EWBC
EXAS
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FBIN
FCNCA
FCX
FDS
FDX
FE
FERG
FFIV
FI
FICO
FIS
FITB
FITBI
FITBO
FITBP
FIVE
FLEX
FLT
FLUT
FMS
FMX
FND
FNF
FNV
FOX
FOXA
FSLR
FTNT
FTS
FTV
FWONA
FWONK
GD
GDDY
GE
GEHC
GEN
GFI
GFL
GFS
GGG
GIB
GILD
GIS
GL
GLPI
GLW
GM
GMAB
GOLD
GOOG
GOOGL
GPC
GPN
GRAB
GRMN
GS
GSK
GTLB
GWW
H
HAL
HBAN
HBANM
HBANP
HCA
HD
HDB
HEI
HES
HIG
HII
HLN
HLT
HMC
HOLX
HON
HOOD
HPE
HPQ
HRL
HSBC
HST
HSY
HTHT
HUBB
HUBS
HUM
HWM
IBKR
IBM
IBN
ICE
ICLR
IDXX
IEX
IFF
IHG
ILMN
IMO
INCY
INFY
ING
INTC
INTU
INVH
IOT
IP
IPG
IQV
IR
IRM
ISRG
IT
ITT
ITUB
ITW
IX
J
JBHT
JBL
JCI
JD
JHX
JKHY
JNJ
JNPR
JPM
K
KB
KDP
KEP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KMX
KNSL
KO
KOF
KR
KRTX
KSPI
KVUE
L
LAMR
LDOS
LECO
LEN
LH
LHX
LI
LII
LIN
LKQ
LLY
LMT
LNG
LNT
LOGI
LOW
LPLA
LRCX
LSCC
LULU
LUV
LVS
LW
LYB
LYG
LYV
MA
MAA
MANH
MAR
MAS
MCD
MCHP
MCK
MCO
MDB
MDLZ
MDT
MEDP
MELI
MET
META
MFC
MFG
MGA
MGM
MKC
MKL
MLM
MMC
MMM
MNDY
MNST
MO
MOH
MORN
MPC
MPLX
MPWR
MRK
MRNA
MRO
MRVL
MS
MSCI
MSFT
MSI
MSTR
MT
MTB
MTCH
MTD
MU
MUFG
NBIX
NDAQ
NDSN
NEE
NEM
NET
NFLX
NGG
NI
NICE
NIO
NKE
NMR
NOC
NOK
NOW
NRG
NSC
NTAP
NTES
NTNX
NTR
NTRS
NU
NUE
NVDA
NVO
NVR
NVS
NVT
NWG
NWS
NWSA
NXPI
O
OC
ODFL
OKE
OKTA
OMC
ON
ORAN
ORCL
ORLY
OTEX
OTIS
OVV
OWL
OXY
PAA
PAG
PANW
PARAA
PARAP
PATH
PAYC
PAYX
PBA
PBR
PCAR
PCG
PCOR
PDD
PEG
PEN
PEP
PFE
PFG
PFGC
PFH
PG
PGR
PH
PHG
PHM
PINS
PKG
PKX
PLD
PLTR
PM
PNC
PNR
PODD
POOL
PPG
PPL
PR
PRU
PSA
PSTG
PSX
PTC
PUK
PWR
PXD
PYPL
QCOM
QRTEP
QRVO
QSR
RACE
RBA
RBLX
RCI
RCL
RDY
REG
REGN
RELX
REXR
RF
RGA
RGEN
RIO
RIVN
RJF
RKT
RL
RMD
RNR
ROK
ROKU
ROL
ROP
ROST
RPM
RPRX
RRX
RS
RSG
RTO
RTX
RVTY
RY
RYAAY
RYAN
SAIA
SAN
SAP
SBAC
SBS
SBUX
SCCO
SCHW
SCI
SE
SHEL
SHG
SHOP
SHW
SIRI
SJM
SLB
SLF
SLMBP
SMCI
SMFG
SNA
SNAP
SNN
SNOW
SNPS
SNY
SO
SOJC
SOJD
SOJE
SONY
SPG
SPGI
SPLK
SPOT
SQ
SQM
SRE
SREA
SRPT
SSNC
STE
STLA
STLD
STM
STT
STX
STZ
SU
SUI
SWK
SWKS
SYF
SYK
SYM
SYY
T
TAK
TAP
TBB
TBC
TCOM
TD
TDG
TDY
TEAM
TECH
TECK
TEF
TEL
TER
TEVA
TFC
TFII
TFX
TGT
TJX
TKO
TLK
TM
TME
TMO
TMUS
TOL
TOST
TPG
TPL
TPR
TRGP
TRI
TRMB
TROW
TRP
TRU
TRV
TS
TSCO
TSLA
TSM
TSN
TT
TTD
TTE
TTWO
TU
TVE
TW
TWLO
TXN
TXT
TYL
U
UAL
UBER
UBS
UDR
UGIC
UHAL
UHS
UL
ULTA
UMC
UNH
UNP
UPS
URI
USB
USFD
UTHR
UWMC
V
VALE
VEEV
VFS
VICI
VIV
VLO
VLTO
VLYPO
VLYPP
VMC
VOD
VRSK
VRSN
VRT
VRTX
VST
VTR
VTRS
VZ
WAB
WAT
WBA
WBD
WCN
WDAY
WDC
WDS
WEC
WELL
WES
WFC
WIT
WLK
WM
WMB
WMG
WMS
WMT
WPC
WPM
WPP
WRB
WRK
WSM
WSO
WST
WTW
WY
WYNN
X
XEL
XOM
XP
XPO
XYL
YUM
YUMC
Z
ZBH
ZBRA
ZG
ZM
ZS
ZTO
ZTS
